what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.maven.ide.eclipse.editor,0.9.8.200905041414,"org.maven.ide.eclipse.editor",1258912183305
stopped,bundle,org.maven.ide.eclipse.editor.xml,0.9.8.200905041414,"org.maven.ide.eclipse.editor.xml",1258912183305
stopped,bundle,org.eclipse.wst.xml.ui,1.1.1.v200908242115,"org.eclipse.wst.xml.ui",1258912183305
stopped,bundle,org.eclipse.wst.common.ui,1.1.402.v200901262305,"org.eclipse.wst.common.ui",1258912183306
stopped,bundle,org.terracotta.dso,2.7.2.r11005_v20081209,"org.terracotta.dso",1258912183308
stopped,bundle,org.eclipse.pde.ui,3.5.0.v20090821,"org.eclipse.pde.ui",1258912183312
stopped,bundle,org.eclipse.mylyn.ide.ant,3.3.0.v20091015-0500-e3x,"org.eclipse.mylyn.ide.ant",1258912183313
stopped,bundle,org.eclipse.ant.ui,3.4.1.v20090901_r351,"org.eclipse.ant.ui",1258912183314
stopped,bundle,org.maven.ide.eclipse.launching,0.9.8.200905041413,"org.maven.ide.eclipse.launching",1258912183315
stopped,bundle,org.testng.eclipse,5.9.0.5,"org.testng.eclipse",1258912183316
stopped,bundle,com.cenqua.clover.testoptimization,2.6.2.v20091014030000,"com.cenqua.clover.testoptimization",1258912183320
stopped,bundle,com.cenqua.clover.core,2.6.2.v20091014030000,"com.cenqua.clover.core",1258912183320
stopped,bundle,com.google.gdt.eclipse.suite,1.1.2.v200910131704,"com.google.gdt.eclipse.suite",1258912183321
stopped,bundle,com.google.gwt.eclipse.sdkbundle.macosx,1.7.1.v200909221731,"com.google.gwt.eclipse.sdkbundle.macosx",1258912183322
stopped,bundle,com.google.gwt.eclipse.core,1.1.2.v200910131704,"com.google.gwt.eclipse.core",1258912183323
stopped,bundle,org.eclipse.mylyn.java.tasks,3.3.0.v20091015-0500-e3x,"org.eclipse.mylyn.java.tasks",1258912183324
stopped,bundle,org.eclipse.mylyn.java.ui,3.3.0.v20091015-0500-e3x,"org.eclipse.mylyn.java.ui",1258912183328
stopped,bundle,org.eclipse.jdt.junit,3.5.1.r351_v20090708-0800,"org.eclipse.jdt.junit",1258912183328
stopped,bundle,org.eclipse.jdt.debug.ui,3.4.1.v20090811_r351,"org.eclipse.jdt.debug.ui",1258912183331
stopped,bundle,org.eclipse.jdt.apt.ui,3.3.200.v20090528-1135,"org.eclipse.jdt.apt.ui",1258912183334
stopped,bundle,com.collabnet.subversion.merge,1.10.0,"com.collabnet.subversion.merge",1258912183334
stopped,bundle,org.tigris.subversion.subclipse.graph,1.0.7,"org.tigris.subversion.subclipse.graph",1258912183334
stopped,bundle,org.tigris.subversion.subclipse.mylyn,3.0.0,"org.tigris.subversion.subclipse.mylyn",1258912183335
stopped,bundle,org.tigris.subversion.subclipse.ui,1.6.5,"org.tigris.subversion.subclipse.ui",1258912183336
stopped,bundle,org.maven.ide.eclipse.jdt,0.9.8.200905041413,"org.maven.ide.eclipse.jdt",1258912183337
